State,perHoush,pct12-29,pct65up,pctUrban,pctPoverty,pctUnemploy,pctAllDivorc,pctHousOccup,persEmergShelt,persHomeless,nonViolPerPop,medIncome,pop,countyCode
NJ,3.1,21.44,11.33,100.0,1.96,2.7,4.47,98.37,11,0,1394.59,75122.0,11980.0,39
PA,2.82,21.3,17.18,100.0,3.98,2.43,5.42,97.15,0,0,1955.95,,23123.0,45
MN,2.76,40.53,12.65,0.0,29.99,9.08,9.73,92.45,2,0,9988.79,,,7
MA,2.6,27.41,14.42,100.0,4.01,4.85,7.64,95.11,0,0,1890.88,42805.0,28700.0,21
ND,2.46,35.16,8.58,100.0,13.68,4.18,8.64,95.07,125,15,4747.58,,74111.0,17
MN,2.53,25.03,14.57,0.0,6.84,3.67,7.32,96.65,0,0,2720.49,,13132.0,15
MN,2.69,25.43,10.45,100.0,6.22,4.17,9.75,94.85,0,0,5933.23,37856.0,30954.0,123
CT,2.85,27.51,9.76,96.51,2.89,4.01,8.38,96.21,8,1,3130.42,,45532.0,
MN,2.77,26.94,4.77,100.0,3.36,3.24,9.09,93.6,0,0,3131.33,51314.0,50889.0,53
NH,2.36,26.87,11.28,0.0,6.07,3.14,11.94,90.47,2,0,5461,32221.0,12183.0,9
ME,3.03,31.45,8.63,33.1,4.05,5.73,9.06,96.69,0,0,919.73,,11856.0,5
OH,2.49,25.31,15.24,100.0,16.93,8.67,12.63,94.47,0,0,4672.83,21688.0,,153
MI,2.87,32.21,7.82,100.0,26.67,14.4,17.89,93.17,132,3,6269.29,21962.0,71166.0,125
VA,2.82,25.39,11.94,74.94,17.28,7.06,11.0,92.53,0,10,5227.58,26125.0,52141.0,800
VA,2.36,22.94,17.94,0.0,15.61,5.68,13.39,93.56,17,3,7554.61,22446.0,16162.0,690
NJ,2.66,23.58,15.97,100.0,3.74,5.55,7.69,86.55,17,0,2543.13,38742.0,66473.0,29
MI,2.64,30.39,9.04,100.0,7.07,5.13,11.33,96.46,0,0,4869.53,31103.0,63891.0,81
MN,2.86,27.4,8.39,0.0,5.0,5.18,9.66,97.4,0,0,3207.26,36091.0,15440.0,37
OH,2.87,30.27,14.02,100.0,2.9,4.65,6.2,97.45,0,0,1948.46,43376.0,14790.0,35
OH,2.54,28.65,12.25,100.0,19.09,9.92,13.62,92.09,260,12,7910.25,24819.0,332943.0,95
PA,2.63,28.02,13.74,100.0,20.27,9.62,12.53,89.36,3416,1069,5253.14,24603.0,1585577.0,101
MA,2.8,28.52,12.95,100.0,4.33,3.94,6.41,96.58,196,0,2556.39,59719.0,82585.0,17
VA,2.63,29.84,14.33,100.0,16.45,5.97,11.25,92.33,47,0,4630.73,23726.0,66049.0,680
WI,2.49,25.43,14.93,100.0,11.12,6.85,10.14,95.58,0,0,3374.37,23056.0,12727.0,17
NH,2.67,32.9,12.62,0.0,8.06,6.42,10.46,94.91,1,0,4567.06,31235.0,22430.0,5
OH,2.82,21.82,14.84,73.6,8.79,5.41,8.48,97.29,4,0,3389.19,32713.0,13352.0,23
PA,2.16,23.83,18.45,100.0,12.53,6.62,11.16,93.22,0,0,3739.82,23773.0,10637.0,3
NJ,2.79,23.62,12.65,100.0,1.49,3.75,6.47,97.46,0,0,2160.1,58194.0,21160.0,39
CT,2.6,23.38,15.64,100.0,1.79,3.44,8.57,96.67,0,0,3553.11,45481.0,29208.0,3
MI,2.91,26.88,6.34,82.94,4.36,6.2,10.75,94.06,0,0,3577.58,42549.0,22608.0,125
NJ,2.94,34.05,6.76,64.02,4.35,4.1,9.3,89.49,0,0,3668.03,41944.0,23330.0,1
NH,2.51,31.18,10.56,100.0,6.68,5.12,12.53,90.85,65,0,4550.02,30591.0,25925.0,15
MA,2.76,27.85,9.99,100.0,8.02,7.31,12.32,72.07,56,0,2039.9,37683.0,,23
PA,2.29,23.8,16.44,100.0,4.13,3.05,7.8,95.86,0,0,1654.22,34644.0,17118.0,3
MI,2.52,38.26,4.7,70.5,9.33,3.78,11.31,90.07,0,0,8642.72,34639.0,17668.0,161
NJ,2.7,21.33,12.28,100.0,2.45,2.71,5.8,98.06,0,0,1032.55,62420.0,11439.0,39
MA,2.47,21.74,18.13,83.39,6.78,7.22,10.93,71.04,273,6,3277.2,33411.0,40949.0,1
NJ,2.66,26.56,14.38,100.0,3.68,4.17,7.38,92.58,5,0,2094.09,46499.0,,3
VA,2.95,31.92,4.39,100.0,3.79,3.3,11.0,92.66,7,0,4038.14,46674.0,27957.0,683
PA,2.47,23.25,18.77,97.79,6.27,3.31,9.55,96.4,0,0,3183.72,35855.0,13187.0,71
ND,2.67,38.87,7.87,100.0,14.48,5.08,8.28,94.6,70,0,5247.7,25456.0,49425.0,35
CT,2.66,34.55,10.81,100.0,21.29,9.25,12.44,90.62,1344,16,10988.76,25811.0,130474.0,9
NY,2.57,24.82,13.45,100.0,6.07,5.64,8.45,97.39,0,0,2570.42,29576.0,34989.0,63
WI,2.62,34.4,12.2,100.0,12.63,4.82,9.2,96.01,13,0,5691.4,25168.0,,139
NJ,3.68,53.13,9.15,0.0,9.64,3.21,5.92,92.91,0,0,5041.52,43092.0,12016.0,21
WI,3.13,52.12,9.81,0.0,28.82,7.56,5.29,95.24,6,0,6199.75,21392.0,13547.0,
MI,2.56,26.4,14.14,0.0,11.86,5.25,13.78,95.35,0,0,3673.66,,10130.0,149
NJ,2.82,24.91,7.36,44.04,2.43,2.94,8.64,88.97,0,0,1348.5,48889.0,,27
WI,2.79,45.62,11.04,0.0,21.61,5.96,6.76,95.57,21,0,6436.57,22194.0,23006.0,97
NJ,2.71,29.96,8.64,100.0,2.67,3.08,8.91,94.82,8,0,3647.57,49900.0,31287.0,23
OH,2.59,28.26,13.59,100.0,20.87,8.74,14.39,92.17,2,8,7742.79,21407.0,70487.0,23
MN,2.3,26.37,15.75,100.0,5.55,3.61,10.51,96.63,0,0,4805.2,32405.0,35710.0,
OH,2.58,29.7,12.58,0.0,12.69,5.93,11.46,95.39,0,0,3978.98,27148.0,22191.0,169
NJ,2.76,28.54,12.48,100.0,11.55,7.53,8.63,94.88,0,0,5188.82,33969.0,13425.0,17
MA,2.93,25.59,12.51,65.76,4.92,4.6,6.44,96.0,0,0,2074.61,40117.0,15411.0,5
WI,2.47,26.47,15.12,100.0,17.1,9.73,12.05,94.15,13,0,6766.78,20905.0,27134.0,31
MI,2.72,26.44,12.96,0.0,15.39,7.38,11.28,95.36,14,0,4272.31,29088.0,22902.0,115
OH,2.9,27.09,8.64,69.9,4.1,4.98,10.18,97.03,0,0,2078.51,35575.0,18749.0,49
PA,2.95,49.7,8.79,100.0,17.07,5.7,9.33,94.63,6,0,4402.58,31262.0,18041.0,29
NJ,2.54,29.41,9.56,100.0,5.14,4.16,10.45,89.32,51,1,5411.19,36864.0,13800.0,
RI,3.05,25.48,10.38,1.86,5.55,6.21,7.39,92.38,0,0,1153,37156.0,16230.0,7
MI,2.63,43.75,6.29,100.0,16.08,3.81,8.09,94.65,195,4,4960.52,33344.0,,161
NH,2.75,29.21,5.1,0.0,3.79,5.47,10.46,90.72,0,0,3309.49,43419.0,29603.0,15
WI,2.71,23.6,10.77,100.0,2.32,2.38,6.88,97.04,0,0,4782.25,44735.0,15128.0,79
NJ,2.81,29.54,9.09,100.0,18.18,10.87,14.53,91.24,189,25,4621.91,25655.0,58012.0,17
MI,2.61,29.26,9.58,100.0,30.58,18.29,17.92,91.78,83,11,10343.04,20176.0,140761.0,49
NJ,3.28,49.87,8.48,100.0,21.96,8.85,8.74,93.77,105,17,7502.41,28289.0,41711.0,23
PA,2.93,25.04,11.65,100.0,3.15,3.4,7.02,97.89,0,0,2008.22,44083.0,15080.0,45
NJ,2.75,26.67,14.13,100.0,9.18,5.92,12.07,93.25,26,0,3154.17,28998.0,12649.0,7
PA,2.63,22.15,14.78,100.0,2.95,3.8,5.69,98.13,0,0,1236.48,36972.0,30533.0,3
OH,2.99,28.07,6.4,47.15,8.41,5.71,10.01,97.03,0,0,1694.27,31617.0,12697.0,25
PA,2.88,29.11,12.58,100.0,25.16,12.4,14.44,88.04,113,1,8770.11,20864.0,41856.0,45
PA,2.5,28.24,15.0,100.0,19.41,8.63,14.07,91.62,172,0,7043.06,,78380.0,11
MA,2.73,24.89,14.98,95.02,7.2,7.65,7.94,94.86,0,0,4681.09,37701.0,39990.0,9
ND,2.77,28.99,5.31,100.0,7.44,4.1,9.98,96.85,0,0,3259.85,29661.0,,17
OH,2.8,23.21,12.88,100.0,5.4,5.33,7.42,97.32,0,0,2729.19,34198.0,11475.0,153
NJ,2.76,22.94,15.89,0.0,7.99,7.94,10.19,76.7,27,0,4027.78,30524.0,14771.0,9
NJ,2.56,25.55,9.28,93.19,1.99,2.55,9.21,93.9,0,0,2149.5,50843.0,30270.0,5
NJ,3.17,33.08,11.56,100.0,3.03,3.64,6.55,94.35,0,0,7311.8,64338.0,16390.0,13
VA,2.55,38.98,12.07,100.0,12.29,3.32,12.93,92.4,13,60,3471.38,26614.0,19027.0,630
MN,2.47,28.36,14.85,100.0,16.57,7.22,10.8,95.95,303,2,5198.1,23370.0,85493.0,137
MA,2.58,25.9,13.23,100.0,6.62,5.42,9.33,94.53,43,0,3174.56,39603.0,38195.0,9
CT,2.9,24.15,9.03,79.22,2.05,2.81,6.47,97.2,0,0,1968.23,50798.0,,9
MI,2.74,27.24,9.47,84.64,13.77,11.36,12.9,95.25,0,0,3470.01,30160.0,24093.0,49
NJ,2.71,20.83,10.59,90.8,1.52,2.86,7.89,95.3,0,0,1216.94,70000.0,17199.0,35
OH,2.65,27.61,12.53,0.0,14.66,10.08,13.26,94.99,8,0,5221.83,25385.0,,143
MI,2.57,27.49,10.54,0.0,9.26,4.97,8.53,95.9,17,0,2747.06,39087.0,37819.0,111
NY,2.67,26.3,13.13,100.0,11.8,7.41,11.96,95.97,112,0,5381.64,34850.0,67153.0,119
OH,2.62,27.69,11.22,0.0,8.65,1.93,13.33,96.87,0,0,4719.16,27095.0,10453.0,165
NJ,2.5,24.39,15.73,100.0,3.42,3.95,7.51,96.82,0,0,2140.89,43109.0,17084.0,31
WI,2.74,27.52,8.57,0.0,3.13,2.75,9.73,98.02,0,0,4348.07,35301.0,15333.0,25
NJ,2.83,23.03,7.24,0.0,2.31,2.46,7.12,94.03,19,0,2239.74,61524.0,15616.0,19
MI,2.45,26.82,14.42,0.0,8.7,4.19,12.44,94.6,71,0,4853.32,27373.0,15116.0,55
PA,2.6,25.2,16.15,93.23,3.65,2.17,10.35,95.8,0,0,2604.1,,15254.0,41
NJ,3.29,27.52,6.63,100.0,4.47,5.61,9.98,98.29,0,0,3459.04,47121.0,36291.0,5
NJ,2.51,27.03,12.44,100.0,5.1,4.59,8.07,96.9,0,0,1438.79,42464.0,12454.0,3
MI,2.62,24.58,11.06,67.6,11.94,8.18,13.0,95.55,0,0,5453.07,30200.0,10764.0,25
MA,2.87,23.41,11.26,95.18,2.64,5.9,6.27,96.56,27,0,2334.19,60274.0,19821.0,23
ME,2.54,28.02,12.16,100.0,9.67,4.97,11.7,95.95,0,0,4387.58,29833.0,16121.0,5
NY,2.94,30.82,9.71,100.0,26.23,11.79,13.73,90.13,160,9,5214.75,22224.0,26454.0,71
PA,2.58,21.26,17.48,0.0,7.56,5.17,7.62,96.72,0,0,1879.8,31503.0,17625.0,19
NJ,2.55,23.9,17.89,100.0,5.63,6.69,9.33,96.33,0,0,4674.45,35911.0,36701.0,39
MI,2.73,39.91,9.28,100.0,26.23,9.17,12.06,93.4,192,0,7203.5,23207.0,80277.0,77
NJ,2.81,21.73,11.98,100.0,1.79,2.99,5.66,97.18,0,0,2170.08,66760.0,28870.0,39
NJ,2.12,11.33,48.23,88.74,4.57,7.32,4.41,88.63,0,0,2016.5,23028.0,37319.0,29
NY,2.62,26.05,16.0,0.0,13.8,8.96,11.37,94.12,0,2,3702.5,22271.0,31258.0,11
MA,2.43,24.46,15.81,0.0,11.93,5.91,13.48,95.22,21,1,4102.43,26680.0,18666.0,11
CT,2.65,24.75,12.78,100.0,3.72,5.5,9.4,93.56,50,0,5457.1,44142.0,49938.0,9
MN,2.53,24.28,14.34,0.0,9.53,4.52,8.87,96.71,0,0,4852.11,27111.0,15134.0,49
ME,2.67,26.11,11.81,0.0,10.4,7.09,11.25,91.94,9,0,3322.75,27824.0,20463.0,31
OH,2.53,27.96,14.53,0.0,17.68,6.82,12.36,91.58,8,0,4920.19,20950.0,15026.0,167
RI,2.66,24.09,15.5,86.82,6.73,5.1,8.75,96.25,0,0,3360.24,32596.0,26542.0,7
WI,2.52,25.13,15.05,100.0,11.7,3.99,9.04,96.08,49,0,3809.48,25505.0,,73
PA,2.48,26.27,15.14,100.0,6.99,4.78,8.53,95.99,0,18,3105.21,32356.0,81177.0,45
NJ,2.72,24.41,15.79,100.0,3.77,5.56,6.68,97.24,0,0,3385.92,,13296.0,3
RI,2.52,33.02,11.59,100.0,12.47,5.96,12.17,85.5,41,0,8754.78,30534.0,28227.0,5
MA,2.38,29.11,14.92,100.0,6.82,6.92,8.95,94.56,61,4,3235.58,35858.0,84985.0,21
MN,2.72,30.19,2.0,100.0,2.83,3.43,9.36,94.46,0,0,3238.42,46612.0,47409.0,37
MN,3.09,25.12,2.33,100.0,2.32,3.41,7.22,96.63,0,0,2743.68,50611.0,38736.0,53
WI,2.32,24.1,15.8,0.0,6.46,4.21,11.23,96.69,10,0,3348.07,26640.0,10241.0,45
RI,2.45,27.25,14.64,100.0,10.59,7.98,11.47,93.98,8,1,5702.23,26541.0,72644.0,7
NJ,2.83,23.61,10.35,76.32,2.06,2.73,7.02,96.38,0,0,1579.65,59724.0,13812.0,27
OH,2.47,25.95,14.0,0.0,14.11,7.71,13.45,94.76,11,0,4127.54,22430.0,34507.0,45
